pair,orch,threads,regs,local_bytes,smem_total,smem_static,smem_dynamic,soloA_smem,soloB_smem,soloA_regs,soloB_regs,max_solo_smem,sum_solo_smem,num_barriers,ctas_per_sm,limit_by,launch_bounds,n_syncthreads,"partial_barriers(id,n)","bar_sync(id,n)",allreduce_named_barrier_threads,smem_view_offsets,cp_async_conditional,cp_async
gd_e0,sm_static_n188_dbg,128,232,0,73216,0,73216,98304,74752,192,118,98304,173056,3,1,smem,"128, 1",26,[],[],['128'],"[0, 16, 1024, 5120, 33792, 37888, 70656, 72704]",0,10
gd_e0,sm_static_to_n188_dbg,128,246,0,73216,0,73216,98304,74752,192,118,98304,173056,3,1,smem,"128, 1",26,[],[],['128'],"[0, 16, 1024, 5120, 33792, 37888, 70656, 72704]",0,10
gd_e0,sm_dynamic_c1-1_n188_dbg,128,230,0,73216,0,73216,98304,74752,192,118,98304,173056,3,1,smem,"128, 1",26,[],[],['128'],"[0, 16, 1024, 5120, 33792, 37888, 70656, 72704]",0,10
gd_e0,sm_dynamic_c1-1_to_n188_dbg,128,230,0,73216,0,73216,98304,74752,192,118,98304,173056,3,1,smem,"128, 1",26,[],[],['128'],"[0, 16, 1024, 5120, 33792, 37888, 70656, 72704]",0,10
gd_e0,sm_static_n188,128,236,0,73216,0,73216,98304,74752,192,118,98304,173056,3,1,smem,"128, 1",26,[],[],['128'],"[0, 16, 1024, 5120, 33792, 37888, 70656, 72704]",0,10
gd_e0,sm_static_to_n188,128,242,0,73216,0,73216,98304,74752,192,118,98304,173056,3,1,smem,"128, 1",26,[],[],['128'],"[0, 16, 1024, 5120, 33792, 37888, 70656, 72704]",0,10
gd_e0,sm_dynamic_c1-1_n188,128,236,0,73216,0,73216,98304,74752,192,118,98304,173056,3,1,smem,"128, 1",26,[],[],['128'],"[0, 16, 1024, 5120, 33792, 37888, 70656, 72704]",0,10
gd_e0,sm_dynamic_c1-1_to_n188,128,224,0,73216,0,73216,98304,74752,192,118,98304,173056,3,1,smem,"128, 1",26,[],[],['128'],"[0, 16, 1024, 5120, 33792, 37888, 70656, 72704]",0,10
gd_e0,sum,128,242,0,173072,0,173072,98304,74752,192,118,98304,173056,3,0,smem,"128, 1",26,[],[],['128'],"[0, 32768, 65536, 98304, 131072, 163840, 167936, 169984, 170496, 171008, 171520, 172032, 172544, 173056]",0,10
gd_split,sm_static_n188_dbg,128,254,0,73216,0,73216,98320,74768,254,139,98320,173088,3,1,smem,"128, 1",30,[],[],['128'],"[0, 16, 1024, 2048, 5120, 33792, 37888, 70656, 72704]",0,10
gd_split,sm_static_to_n188_dbg,128,253,0,73216,0,73216,98320,74768,254,139,98320,173088,3,1,smem,"128, 1",30,[],[],['128'],"[0, 16, 1024, 2048, 5120, 33792, 37888, 70656, 72704]",0,10
gd_split,sm_dynamic_c1-1_n188_dbg,128,253,0,73216,0,73216,98320,74768,254,139,98320,173088,3,1,smem,"128, 1",30,[],[],['128'],"[0, 16, 1024, 2048, 5120, 33792, 37888, 70656, 72704]",0,10
gd_split,sm_dynamic_c1-1_to_n188_dbg,128,254,0,73216,0,73216,98320,74768,254,139,98320,173088,3,1,smem,"128, 1",30,[],[],['128'],"[0, 16, 1024, 2048, 5120, 33792, 37888, 70656, 72704]",0,10
