group,label,variant,threads,regs,smem_per_cta,ctas_per_sm,limit_by,grid,local_bytes,median_us,p10_us,p90_us,cv,cv_ok,mhz_median,cycles_median,done_A,done_B,tiles_A,kernel_T_A_us,kernel_exit_us
coupling,gemm,solo_persistent,128,192,98304,1,smem,188,0,262.5119984149933,261.8208110332489,264.16320502758026,0.0035593176918474953,True,2701.6719279600698,709920.6871774904,,,,,
coupling,gemm|decode,static_notime,128,232,73216,1,smem,188,0,268.19199323654175,266.2400007247925,268.3199942111969,0.0038302755163297413,True,2567.7512192544136,687955.7287179658,512,0,512,,263.584
coupling,gemm|decode,static,128,236,73216,1,smem,188,0,268.3039903640747,267.8688049316406,270.33600211143494,0.00411164579407926,True,2569.8512707785612,690493.6236629514,512,0,512,265.504,266.24
coupling,gemm|decode,dynamic_c1,128,236,73216,1,smem,188,0,210.94399690628052,210.5856016278267,212.8992035984993,0.0050651024196574565,True,2499.1682420262277,528018.9361036934,512,0,512,207.456,208.352
coupling,gemm|gemm,static_notime,128,211,66560,1,smem,188,0,267.87200570106506,266.2400007247925,269.8880136013031,0.004354799908266884,True,2565.76731553392,687560.0004325309,512,0,512,,264.992
coupling,gemm|gemm,static,128,216,66560,1,smem,188,0,268.2560086250305,266.2688076496124,270.24320662021637,0.004261063090008638,True,2560.1875118586045,686852.5723710635,512,0,512,265.536,266.24
coupling,gemm|gemm,dynamic_c1,128,214,66560,1,smem,188,0,210.94399690628052,210.52480041980743,212.99199759960175,0.004696677805015507,True,2498.2996415082353,528069.3078224391,512,0,512,208.192,209.056
coupling,decode,solo_persistent,128,118,74752,1,smem,188,0,343.29599142074585,342.0160114765167,344.06399726867676,0.0030507718292844435,True,2860.087782396468,980386.1847033274,,,,,
coupling,decode|gemm,static_notime,128,229,73216,1,smem,188,0,355.6479960680008,352.25600004196167,358.37120711803436,0.00628278583169387,True,2856.1582263147484,1014768.5613009599,128,0,128,,353.312
coupling,decode|gemm,static,128,234,73216,1,smem,188,0,356.6560000181198,354.3007880449295,360.3616088628769,0.006587875041116268,True,2857.214350809996,1020623.39178696,128,0,128,351.968,352.704
coupling,decode|gemm,dynamic_c1,128,232,73216,1,smem,188,0,356.0800105333328,352.1600067615509,358.0831915140152,0.006763506581859293,True,2854.942377514213,1015868.7853790699,128,0,128,350.688,351.552
coupling,decode|decode,static_notime,128,140,72720,1,smem,188,0,368.3199882507324,357.24480748176575,376.5407919883728,0.01986561637035197,True,2853.6392840010267,1051430.617188902,128,0,128,,368.736
coupling,decode|decode,static,128,145,72720,1,smem,188,0,362.4959886074066,354.29759323596954,373.4399974346161,0.019177097456390204,True,2853.920581678951,1036530.8970261086,128,0,128,366.304,367.008
coupling,decode|decode,dynamic_c1,128,143,72720,1,smem,188,0,364.1919940710068,356.089586019516,372.91199862957,0.01862972094220115,True,2854.6313051661646,1038381.5075070258,128,0,128,352.128,353.024
coupling,gemm|rmsnorm,static_notime,256,214,66560,1,regs+smem,188,0,268.2560086250305,266.23679995536804,268.3199942111969,0.0037946999204606776,True,2552.887553708104,684079.4692425085,512,0,512,,263.872
coupling,gemm|rmsnorm,static,256,218,66560,1,regs+smem,188,0,268.2879865169525,267.67999827861786,270.33600211143494,0.004623286378805369,True,2549.4860296759675,685180.8804143233,512,0,512,262.688,263.424
coupling,gemm|rmsnorm,dynamic_c1,256,216,66560,1,regs+smem,188,0,210.86400002241135,208.8959962129593,212.04160451889038,0.004854337026766108,True,2478.037512135955,522161.0132480355,512,0,512,205.056,206.016
coupling,rmsnorm,solo_persistent,256,39,32,6,regs+warps,188,0,200.70399343967438,196.60800695419312,204.79999482631683,0.016357637498561756,True,2846.1317395894357,571327.465944404,,,,,
coupling,rmsnorm|gemm,static_notime,256,214,66560,1,regs+smem,188,0,266.2079930305481,262.13440001010895,268.2879865169525,0.009352200942253636,True,2858.8643421373754,760560.0521246097,16384,0,16384,,261.824
coupling,rmsnorm|gemm,static,256,220,66560,1,regs+smem,188,0,269.3119943141937,266.2400007247925,271.2352067232132,0.008289302983191886,True,2853.822528313072,768258.2635698167,16384,0,16384,265.152,266.08
coupling,rmsnorm|gemm,dynamic_c1,256,218,66560,1,regs+smem,188,0,194.46399807929993,192.47999787330627,196.5823993086815,0.009644827694013229,True,2854.674633848263,554848.3706554954,16384,0,16384,195.712,197.088
coupling,rmsnorm|rmsnorm,static_notime,256,56,48,4,regs,188,0,204.43200320005417,200.38080513477325,206.9183960556984,0.012947345806940036,True,2859.1151299025896,582967.1844436477,16384,0,16384,,202.24
coupling,rmsnorm|rmsnorm,static,256,63,48,4,regs,188,0,204.79999482631683,202.3648053407669,208.60479474067688,0.01305860826985192,True,2859.697126801234,586215.4022844353,16384,0,16384,199.296,200.032
coupling,rmsnorm|rmsnorm,dynamic_c1,256,63,48,4,regs,188,0,194.240003824234,190.43200463056564,196.68799936771393,0.016097467464866382,True,2859.8934171013434,555809.1579878405,16384,0,16384,186.144,187.072
