op,config,build,kernel,numerics,numerics_key,num_tiles,grid,grid_src,threads,threads_src,threads_changed,regs,local_bytes,stack_bytes,smem_static,smem_dynamic,smem_total,smem_estimate,num_barriers,ctas_per_sm,limit_by,lim_warps,lim_regs,lim_smem,lim_barriers,smem_alloc_per_cta,warps_per_sm,occupancy,drv_regs,drv_smem_static,drv_local_bytes,drv_max_threads,drv_ctas_per_sm
gemm,64x64x32_s3_t128_k1_wsoff_smem_g8,grid,gemm_grid_64x64x32_s3_t128_k1_wsoff_smem_g8_cade05_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",1024,1024,1024,128,128,False,98,0,0,0,24576,24576,24576,1,4,regs+smem,12,4,4,24,25600,16,0.3333333333333333,98,0,0,128,4
gemm,64x64x32_s3_t128_k1_wsoff_smem_g8,persistent,gemm_persistent_64x64x32_s3_t128_k1_wsoff_smem_g8_f9e30d_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",1024,188,188,128,128,False,104,0,0,0,32768,32768,32768,1,3,smem,12,4,3,24,33792,12,0.25,104,0,0,128,3
gemm,64x64x64_s2_t128_k1_wsoff_smem_g8,grid,gemm_grid_64x64x64_s2_t128_k1_wsoff_smem_g8_d8c227_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",1024,1024,1024,128,128,False,88,0,0,0,32768,32768,32768,1,3,smem,12,5,3,24,33792,12,0.25,88,0,0,128,3
gemm,64x64x64_s2_t128_k1_wsoff_smem_g8,persistent,gemm_persistent_64x64x64_s2_t128_k1_wsoff_smem_g8_d23ca3_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",1024,188,188,128,128,False,88,0,0,0,40960,40960,40960,1,2,smem,12,5,2,24,41984,8,0.16666666666666666,88,0,0,128,2
gemm,64x64x64_s3_t128_k1_wsoff_smem_g8,grid,gemm_grid_64x64x64_s3_t128_k1_wsoff_smem_g8_b9ef45_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",1024,1024,1024,128,128,False,95,0,0,0,49152,49152,49152,1,2,smem,12,5,2,24,50176,8,0.16666666666666666,95,0,0,128,2
gemm,64x64x64_s3_t128_k1_wsoff_smem_g8,persistent,gemm_persistent_64x64x64_s3_t128_k1_wsoff_smem_g8_36d151_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",1024,188,188,128,128,False,102,0,0,0,57344,57344,57344,1,1,smem,12,4,1,24,58368,4,0.08333333333333333,102,0,0,128,1
gemm,64x64x32_s3_t256_k1_wsoff_smem_g8,grid,gemm_grid_64x64x32_s3_t256_k1_wsoff_smem_g8_7763cf_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",1024,1024,1024,256,256,False,64,0,0,0,24576,24576,24576,1,4,regs+smem,6,4,4,24,25600,32,0.6666666666666666,64,0,0,256,4
gemm,64x64x32_s3_t256_k1_wsoff_smem_g8,persistent,gemm_persistent_64x64x32_s3_t256_k1_wsoff_smem_g8_f3b5f6_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",1024,188,188,256,256,False,64,0,0,0,32768,32768,32768,1,3,smem,6,4,3,24,33792,24,0.5,64,0,0,256,3
gemm,64x64x64_s2_t256_k1_wsoff_smem_g8,grid,gemm_grid_64x64x64_s2_t256_k1_wsoff_smem_g8_d11675_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",1024,1024,1024,256,256,False,62,0,0,0,32768,32768,32768,1,3,smem,6,4,3,24,33792,24,0.5,62,0,0,256,3
gemm,64x64x64_s2_t256_k1_wsoff_smem_g8,persistent,gemm_persistent_64x64x64_s2_t256_k1_wsoff_smem_g8_98b473_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",1024,188,188,256,256,False,64,0,0,0,40960,40960,40960,1,2,smem,6,4,2,24,41984,16,0.3333333333333333,64,0,0,256,2
gemm,64x64x64_s3_t256_k1_wsoff_smem_g8,grid,gemm_grid_64x64x64_s3_t256_k1_wsoff_smem_g8_955ca3_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",1024,1024,1024,256,256,False,72,0,0,0,49152,49152,49152,1,2,smem,6,3,2,24,50176,16,0.3333333333333333,72,0,0,256,2
gemm,64x64x64_s3_t256_k1_wsoff_smem_g8,persistent,gemm_persistent_64x64x64_s3_t256_k1_wsoff_smem_g8_5e93c0_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",1024,188,188,256,256,False,80,0,0,0,57344,57344,57344,1,1,smem,6,3,1,24,58368,8,0.16666666666666666,80,0,0,256,1
gemm,64x128x32_s3_t128_k1_wsoff_smem_g8,grid,gemm_grid_64x128x32_s3_t128_k1_wsoff_smem_g8_13b898_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,512,512,128,128,False,128,0,0,0,36864,36864,36864,1,2,smem,12,4,2,24,37888,8,0.16666666666666666,128,0,0,128,2
gemm,64x128x32_s3_t128_k1_wsoff_smem_g8,persistent,gemm_persistent_64x128x32_s3_t128_k1_wsoff_smem_g8_e53982_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,171,171,128,128,False,142,0,0,0,53248,53248,53248,1,1,smem,12,3,1,24,54272,4,0.08333333333333333,142,0,0,128,1
gemm,64x128x64_s2_t128_k1_wsoff_smem_g8,grid,gemm_grid_64x128x64_s2_t128_k1_wsoff_smem_g8_4c4bb6_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,512,512,128,128,False,134,0,0,0,49152,49152,49152,1,2,smem,12,3,2,24,50176,8,0.16666666666666666,134,0,0,128,2
gemm,64x128x64_s2_t128_k1_wsoff_smem_g8,persistent,gemm_persistent_64x128x64_s2_t128_k1_wsoff_smem_g8_22cc39_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,171,171,128,128,False,135,0,0,0,65536,65536,65536,1,1,smem,12,3,1,24,66560,4,0.08333333333333333,135,0,0,128,1
gemm,64x128x64_s3_t128_k1_wsoff_smem_g8,grid,gemm_grid_64x128x64_s3_t128_k1_wsoff_smem_g8_3d55d6_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,512,512,128,128,False,143,0,0,0,73728,73728,73728,1,1,smem,12,3,1,24,74752,4,0.08333333333333333,143,0,0,128,1
gemm,64x128x64_s3_t128_k1_wsoff_smem_g8,persistent,gemm_persistent_64x128x64_s3_t128_k1_wsoff_smem_g8_a21217_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,171,171,128,128,False,153,0,0,0,90112,90112,90112,1,1,smem,12,3,1,24,91136,4,0.08333333333333333,153,0,0,128,1
gemm,64x128x32_s3_t256_k1_wsoff_smem_g8,grid,gemm_grid_64x128x32_s3_t256_k1_wsoff_smem_g8_0d61e6_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,512,512,256,256,False,90,0,0,0,36864,36864,36864,1,2,regs+smem,6,2,2,24,37888,16,0.3333333333333333,90,0,0,256,2
gemm,64x128x32_s3_t256_k1_wsoff_smem_g8,persistent,gemm_persistent_64x128x32_s3_t256_k1_wsoff_smem_g8_12ed18_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,171,171,256,256,False,88,0,0,0,53248,53248,53248,1,1,smem,6,2,1,24,54272,8,0.16666666666666666,88,0,0,256,1
gemm,64x128x64_s2_t256_k1_wsoff_smem_g8,grid,gemm_grid_64x128x64_s2_t256_k1_wsoff_smem_g8_e61c15_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,512,512,256,256,False,90,0,0,0,49152,49152,49152,1,2,regs+smem,6,2,2,24,50176,16,0.3333333333333333,90,0,0,256,2
gemm,64x128x64_s2_t256_k1_wsoff_smem_g8,persistent,gemm_persistent_64x128x64_s2_t256_k1_wsoff_smem_g8_1d861e_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,171,171,256,256,False,90,0,0,0,65536,65536,65536,1,1,smem,6,2,1,24,66560,8,0.16666666666666666,90,0,0,256,1
gemm,64x128x64_s3_t256_k1_wsoff_smem_g8,grid,gemm_grid_64x128x64_s3_t256_k1_wsoff_smem_g8_9d52ef_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,512,512,256,256,False,96,0,0,0,73728,73728,73728,1,1,smem,6,2,1,24,74752,8,0.16666666666666666,96,0,0,256,1
gemm,64x128x64_s3_t256_k1_wsoff_smem_g8,persistent,gemm_persistent_64x128x64_s3_t256_k1_wsoff_smem_g8_4ffd50_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,171,171,256,256,False,104,0,0,0,90112,90112,90112,1,1,smem,6,2,1,24,91136,8,0.16666666666666666,104,0,0,256,1
gemm,128x64x32_s3_t128_k1_wsoff_smem_g8,grid,gemm_grid_128x64x32_s3_t128_k1_wsoff_smem_g8_2e7b42_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,512,512,128,128,False,128,0,0,0,36864,36864,36864,1,2,smem,12,4,2,24,37888,8,0.16666666666666666,128,0,0,128,2
gemm,128x64x32_s3_t128_k1_wsoff_smem_g8,persistent,gemm_persistent_128x64x32_s3_t128_k1_wsoff_smem_g8_28533a_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,171,171,128,128,False,134,0,0,0,53248,53248,53248,1,1,smem,12,3,1,24,54272,4,0.08333333333333333,134,0,0,128,1
gemm,128x64x64_s2_t128_k1_wsoff_smem_g8,grid,gemm_grid_128x64x64_s2_t128_k1_wsoff_smem_g8_1c62b2_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,512,512,128,128,False,126,0,0,0,49152,49152,49152,1,2,smem,12,4,2,24,50176,8,0.16666666666666666,126,0,0,128,2
gemm,128x64x64_s2_t128_k1_wsoff_smem_g8,persistent,gemm_persistent_128x64x64_s2_t128_k1_wsoff_smem_g8_e1ef95_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,171,171,128,128,False,126,0,0,0,65536,65536,65536,1,1,smem,12,4,1,24,66560,4,0.08333333333333333,126,0,0,128,1
gemm,128x64x64_s3_t128_k1_wsoff_smem_g8,grid,gemm_grid_128x64x64_s3_t128_k1_wsoff_smem_g8_9db9c6_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,512,512,128,128,False,145,0,0,0,73728,73728,73728,1,1,smem,12,3,1,24,74752,4,0.08333333333333333,145,0,0,128,1
gemm,128x64x64_s3_t128_k1_wsoff_smem_g8,persistent,gemm_persistent_128x64x64_s3_t128_k1_wsoff_smem_g8_990174_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,171,171,128,128,False,149,0,0,0,90112,90112,90112,1,1,smem,12,3,1,24,91136,4,0.08333333333333333,149,0,0,128,1
gemm,128x64x32_s3_t256_k1_wsoff_smem_g8,grid,gemm_grid_128x64x32_s3_t256_k1_wsoff_smem_g8_b1e263_kernel,E0,"('mma.sync.m16n8k16.bf16.f32', 1)",512,512,512,256,256,False,112,0,0,0,36864,36864,36864,1,2,regs+smem,6,2,2,24,37888,16,0.3333333333333333,112,0,0,256,2
